W,T_hot,Tc,Tc_std,Tm,Tm2
2.79,200,159.56922634872095,28.643224756137872,49.676734099442584,45.82063212353404
2.81,200,159.94509043178192,28.327742808663395,49.62086970109474,45.98676692546964
2.8,200,159.54217072274253,28.654976365177635,49.75953401668305,46.07626171701687
2.82,200,159.89981952670502,28.345040891755108,49.62492143250462,45.986771125401106
2.83,200,160.3193573744287,28.00618310496751,49.62880926076822,45.98235436267203
2.84,200,160.27624542302564,28.022260880792665,49.632724964124826,45.98235825864384
2.85,200,160.7044903970955,27.67738733502791,49.63647947026258,45.97769100294714
2.86,200,160.663498961082,27.69227839021481,49.64026154617127,45.97769464615558
2.87,200,161.1004343647152,27.34146704396363,49.64388498925984,45.972763360486766
2.88,200,161.0535790069831,27.360717234871604,49.647538753211066,45.97276557768153
2.89,200,161.49709198019994,27.001540537718498,49.64924913065101,45.74060907798446
2.91,200,161.92455053873317,26.648695584196933,49.657937827116626,45.96205756158106
2.9,200,161.4621221091341,27.016791325968015,49.65456404844358,45.967559144366504
2.92,200,161.88970505573982,26.660214087916156,49.66134469882082,45.962060714696264
2.93,200,162.35262826559503,26.292064135594146,49.66459964309602,45.95624868206094
2.94,200,162.3197644519638,26.302516419244874,49.667887856567674,45.95625175079928
2.95,200,162.79132787637542,25.928747697971353,49.6710260863675,45.950114008381426
2.96,200,162.76041461369073,25.938160496634023,49.67420048346996,45.95011702818719
2.97,200,163.23048818662193,25.56172850076245,49.6757470462957,45.71552086458011
2.98,200,163.21161726818775,25.567253452171965,49.68028942854702,45.94363907908555
3.0,200,163.6937454633428,25.18416102102189,49.68901431753645,46.130818480522386
2.99,200,163.70043708849207,25.182493192833387,49.68320562898751,45.93679657180714
3.01,200,164.1912424757224,24.794048164019213,49.69175475990729,46.15418112536628
3.02,200,164.1659859040557,24.800524370064057,49.69454253262243,46.15418412908512
3.03,200,164.67209596384285,24.40512171600898,49.697182318457656,46.146920845057494
3.04,200,164.6386681932049,24.417487229062147,49.69987225762644,46.14692166832292
3.06,200,165.13147205042404,24.021691081691664,49.70500952921819,46.13925205062804
3.07,200,165.66512891936162,23.608922497709205,49.7074580244352,46.131150430344505
3.05,200,165.1634000362465,24.010044269983997,49.70241549712252,46.139251330905104
3.08,200,165.63466154663809,23.619880534932047,49.70996020700053,46.131151059076075
3.09,200,166.17725947390082,23.201862950594343,49.71231786369851,46.122594914193975
3.11,200,166.6997711261778,22.78897214766653,49.716998598376016,46.1135602537711
3.1,200,166.1592207322743,23.204671276628634,49.71473004927265,46.122598351007156
3.12,200,166.68348096831417,22.790908894311066,49.719324640267835,46.113563874872234
3.13,200,167.23264579440013,22.370356670509402,49.721507790141736,46.10402073849181
3.14,200,167.20769341252506,22.374203211400726,49.72267317370487,45.87704779207948
3.16,200,167.7630147688444,21.946364015541935,49.728009843489005,46.09395329910473
3.15,200,167.77586780913578,21.946123265829097,49.72584887665015,46.093949213570305
3.17,200,168.32942382702967,21.516378956257263,49.73002902942844,46.08331722539423
